from,to,total_amount_usd,transfer_count,from_first_funded_by,from_received_volume_usd,from_is_smart_contract,to_first_funded_by,to_received_volume_usd,to_is_smart_contract
0x078b6180be7f79ebe84975552f88c1dbd2693887,0x21fc5f721b368dd36ec04b220388ce2dfc5c97c3,5.002607083,1,,18.01272558,,,91.18644019,
0x0797e169b3297defccde26b5975f5b7050c72763,0x3cb77cdb692f2ca82fb15f19c2d66a79dd4d79ef,70.63423794,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,72.36723722,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,75.84787279,
0x07e919571f402e7bddfd4e64e9cfe7d1ceea76db,0x1fd859c9adbd3a15de20e50ab5d908823ad86125,51175.45067,8,0x2e3c1543963e512bb2f1ffb04d8aab874338fc64,88422.79632,FALSE,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,56091.77847,FALSE
0x07e919571f402e7bddfd4e64e9cfe7d1ceea76db,0x8fe8cfc7207dd63320f07226a0873707348e4392,11604.23944,3,0x2e3c1543963e512bb2f1ffb04d8aab874338fc64,88422.79632,FALSE,0x25ce2c2c2e51d7009907cf24057935d2bfe31388,48982.38853,
0x08a691384c3d3fa611c72ae504b4248a554a40f1,0x7e50f42d5a51c677a0cb8c4d80b284caf3b23ecb,490.8946093,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,504.365693,FALSE,0x635308e731a878741bfec299e67f5fd28c7553d9,1864.543432,FALSE
0x08e4dd5378cd100b4df380777cd65046914b0965,0x5642e3f1bc8e37be9aafdc16eea751caa750fb5a,3446.074886,4,0xe4623300976289aad716b3e5132099292715c97f,29103.75748,FALSE,0xe4623300976289aad716b3e5132099292715c97f,26906.66123,FALSE
0x09cea2a638dc14e0a6eae930a935a766022c0c3c,0x7089192fc1ae4c83ddde11f89730205090bb770d,37.24838521,1,0x1ceeed79d9b27b2c19af0c1f148a44ac9f95e3bc,44.2926713,,0xce0b6bfd578a5e90fb827ce6f86aa06355277f8c,6042.453745,
0x0a514a4f541d8561accf9c43bba51cb60a270d62,0x3d119a7c79693008acd41c04626b623d7a750a80,90194.74312,18,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,92038.12791,FALSE,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,93408.31951,FALSE
0x0aa9b283d31e7135a23204d4c938df895b2c7fb8,0xe128f5027b47425c712d808e1c42104f78f43ad5,825.3652957,1,,841.7421613,,,0,
0x0b2623acc209d15ef8b3c506f3ecaf43cf3c56e6,0x5b8c1155ff3bda7221e1154780a5be603180d42e,0.004005551,1,0xa7a55f1d16850b7b193ba2b3c1fde5d5936be008,0.022486499,FALSE,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,1214.419166,FALSE
0x0b9f6d272305a3b5c6baa31d8e714acf91065980,0xcdf5fe32b3143196aa473d376dc485552a5d5646,502.2167703,1,,,,0x748693c62226d2cecd83b7e3049661e69b3d12c9,7513.536685,
0x0d7406983ab12edb167115d4e7ec9ac0b8eb3f4b,0x5a8f8f30c374c674aae041264ec0b8451af43cac,100.0502333,1,0xf6f3464aca00346a7a04e5101349b314e1319424,710.3981789,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,198.351394,
0x0df1900eab27c9b13ec29ed6e055e1c0170af058,0xac5d319ec6f752eb1d9641c9a9de8a9e42670e44,0.01011884,11,0xd6cbe68fdbce759b3bd288a3af1df1237291b2e3,0.040416018,,0xed9ebf150d334c040f7088e6fef033effe99e776,11986.71462,
0x0e4936dccd8fedbc2d0859d6812e2e6fd7abe740,0x50260dadfe2c6af39b3028353fc0956f27cb8071,27375.69725,4,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,27935.95692,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,30204.20683,
0x0ead86369e1f38a64ca8d4e3e616508175333ab0,0xba5a939896a3bb6ec72035ec5c68d493d241a10c,941.9339426,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,4247.495854,,0xa95b83af96d0b8a90bd507f2bd82ad8f3dbb86bc,965.9536766,
0x0ee40c1d1ed2134e56633590ec95bc7938b2bac1,0xa32364dcd566fd92522f9eb2f91e8c0a9ae41685,3077.068034,1,,,,0x4fd7c9bdb194f3cf0589803d0a664a80e59ebfa6,4685.687928,FALSE
0x0f28bb95c66d5744f614501aa47a19e09bcc7061,0xe552cc2aa5d398e9829c2085debe707632659a69,4277.510101,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,29788.67521,,0xab97925eb84fe0260779f58b7cb08d77dcb1ee2b,41203.00493,FALSE
0x10ebed195e18f80b5f4301c4b7a89b1691f2be14,0xf5cf8b996afa3c38320974ff49953724113959ac,1978.819458,2,,19576.94749,,,1979.021751,
0x124246eade50b4348f3e8991fa5896093b28dd98,0x117b442427688e2b657dc9cd2dd4df3a9098615f,35294.98517,15,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,50962.88169,FALSE,0x221c143625effe1dbefb37b717338e2498e1d57e,166332.5859,FALSE
0x127263cc7f1582eea623fb72a5356a64a7df298a,0x97cde00ef58e1e5287fca14ca3fc59dcef10d187,391.4064253,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,1912.037219,,0x4381d08fe595eb4bc96558a9d46f110b5324b4b1,391.3708055,
0x127653944d2a7ce811ad3cc035ef842d9bd66c20,0xe5aea6a925cca7969b246e83af1928a4373f1003,5003.34563,2,0x2e3c1543963e512bb2f1ffb04d8aab874338fc64,5191.37098,FALSE,0x2e3c1543963e512bb2f1ffb04d8aab874338fc64,10089.64294,FALSE
0x132cadc857471eb92add50943e9e39b011af8342,0x2eea198b1afa511b6d97e38acd5cba990f3fced9,130287.2579,6,0x0d0707963952f2fba59dd06f2b425ace40b492fe,102664.7774,,0x6596da8b65995d5feacff8c2936f0b7a2051b0d0,223161.1789,FALSE
